Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,83
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,84
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,1,85
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,86
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,1,87
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,88
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,89
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,1,90
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,91
2023-01-01,1,Ciutat Vella,1,el Raval,1,6,1,92
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,93
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,94
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,96
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,97
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,98
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,1,99
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,1,100
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,0
2023-01-01,1,Ciutat Vella,1,el Raval,1,13,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,3
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,4
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,2,5
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,6
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,2,7
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,8
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,9
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,10
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,11
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,12
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,13
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,14
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,15
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,16
2023-01-01,1,Ciutat Vella,1,el Raval,1,..,2,17
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,2,18
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,19
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,2,20
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,2,21
2023-01-01,1,Ciutat Vella,1,el Raval,1,17,2,22
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,2,23
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,2,24
2023-01-01,1,Ciutat Vella,1,el Raval,1,20,2,25
2023-01-01,1,Ciutat Vella,1,el Raval,1,26,2,26
2023-01-01,1,Ciutat Vella,1,el Raval,1,32,2,27
2023-01-01,1,Ciutat Vella,1,el Raval,1,35,2,28
2023-01-01,1,Ciutat Vella,1,el Raval,1,24,2,29
2023-01-01,1,Ciutat Vella,1,el Raval,1,41,2,30
2023-01-01,1,Ciutat Vella,1,el Raval,1,33,2,31
2023-01-01,1,Ciutat Vella,1,el Raval,1,31,2,32
2023-01-01,1,Ciutat Vella,1,el Raval,1,32,2,33
2023-01-01,1,Ciutat Vella,1,el Raval,1,39,2,34
2023-01-01,1,Ciutat Vella,1,el Raval,1,29,2,35
2023-01-01,1,Ciutat Vella,1,el Raval,1,28,2,36
2023-01-01,1,Ciutat Vella,1,el Raval,1,28,2,37
2023-01-01,1,Ciutat Vella,1,el Raval,1,34,2,38
2023-01-01,1,Ciutat Vella,1,el Raval,1,28,2,39
2023-01-01,1,Ciutat Vella,1,el Raval,1,32,2,40
2023-01-01,1,Ciutat Vella,1,el Raval,1,28,2,41
2023-01-01,1,Ciutat Vella,1,el Raval,1,34,2,42
2023-01-01,1,Ciutat Vella,1,el Raval,1,34,2,43
2023-01-01,1,Ciutat Vella,1,el Raval,1,19,2,44
2023-01-01,1,Ciutat Vella,1,el Raval,1,15,2,45
2023-01-01,1,Ciutat Vella,1,el Raval,1,19,2,46
2023-01-01,1,Ciutat Vella,1,el Raval,1,15,2,47
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,2,48
2023-01-01,1,Ciutat Vella,1,el Raval,1,17,2,49
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,2,50
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,2,51
2023-01-01,1,Ciutat Vella,1,el Raval,1,15,2,52
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,2,53
2023-01-01,1,Ciutat Vella,1,el Raval,1,16,2,54
2023-01-01,1,Ciutat Vella,1,el Raval,1,15,2,55
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,2,56
2023-01-01,1,Ciutat Vella,1,el Raval,1,20,2,57
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,2,58
2023-01-01,1,Ciutat Vella,1,el Raval,1,18,2,59
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,60
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,61
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,2,62
2023-01-01,1,Ciutat Vella,1,el Raval,1,14,2,63
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,64
2023-01-01,1,Ciutat Vella,1,el Raval,1,9,2,65
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,66
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,2,67
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,68
2023-01-01,1,Ciutat Vella,1,el Raval,1,10,2,69
2023-01-01,1,Ciutat Vella,1,el Raval,1,8,2,70
2023-01-01,1,Ciutat Vella,1,el Raval,1,12,2,71
2023-01-01,1,Ciutat Vella,1,el Raval,1,11,2,72
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,73
2023-01-01,1,Ciutat Vella,1,el Raval,1,7,2,74
2023-01-01,1,Ciutat Vella,1,el Raval,1,5,2,75
